,Targets,Attributes,Effect Size
0,"['Instruments', 'Weapons']","['Pleasant', 'Unpleasant']",1.6448023319244385
1,"['Male names', 'Female names']","['Career', 'Family']",1.9518473148345947
2,"['Science', 'Arts']","['Male terms', 'Female terms']",1.284647822380066
3,"['Mental disease', 'Physical disease']","['Temporary', 'Permanent']",1.354404091835022
4,"['Flowers', 'Insects']","['Pleasant', 'Unpleasant']",1.5549757480621338
5,"['Young people’s names', 'Old people’s names']","['Pleasant', 'Unpleasant']",-0.09291068464517593
6,"['Math', 'Arts']","['Male terms', 'Female terms']",0.9981079697608948
7,"['European American names', 'African American names']","['Pleasant', 'Unpleasant']",1.3320293426513672
8,"['European American names', 'African American names']","['Pleasant', 'Unpleasant']",0.7336733341217041
9,"['European American names', 'African American names']","['Pleasant', 'Unpleasant']",0.6277780532836914
